Designator,Mid X,Mid Y,Rotation,Layer
C1,61.0,-23.725,270.0,top
C2,64.525,-28.25,180.0,top
C3,61.0,-58.225,270.0,top
C4,64.525,-62.75,180.0,top
C5,61.0,-32.775,90.0,top
C6,61.0,-67.275,90.0,top
D1,50.0,-11.7125,90.0,top
D2,50.0,-82.7125,270.0,top
FID1,69.0,-3.0,0.0,top
FID2,5.0,-3.0,0.0,top
FID3,62.0,-89.0,0.0,top
H5,5.875,-17.9,0.0,top
H6,5.875,-42.1,0.0,top
H7,5.875,-52.4,0.0,top
H8,5.875,-76.6,0.0,top
J1,53.925,-30.0,90.0,top
J2,53.925,-64.5,90.0,top
J3,37.0,-7.0,90.0,top
R1,51.925,-11.75,90.0,top
R2,52.0,-82.675,270.0,top
U1,66.0,-22.25,90.0,top
U2,66.0,-56.75,90.0,top
U3,66.0,-34.25,270.0,top
U4,66.0,-68.75,270.0,top
